timestamp_utc,profile,framework,route,wrk_args,rps,p50_ms,p90_ms,p99_ms,max_ms,socket_errors,non_2xx,avg_cpu_pct,max_cpu_pct,max_rss_kb,avg_rss_kb,max_rss_mb,avg_rss_mb,rps_per_core,cswch_s,nvcswch_s,raw_wrk,pidstat_log
20260524T075113Z,latency,kruda,plaintext-handler,-t4 -c128 -d15s,834242.28,0.105,0.211,1.030,13.990,0,0,385.00,397.00,17280,17041,16.88,16.64,216686,0.00,0.00,raw/kruda-latency-plaintext-handler-wrk.txt,raw/kruda-latency-plaintext-handler-pidstat.txt
20260524T075113Z,latency,kruda,json-static,-t4 -c128 -d15s,816610.11,0.107,0.226,0.930,12.210,0,0,384.60,396.00,19456,19149,19.00,18.70,212327,0.00,0.00,raw/kruda-latency-json-static-wrk.txt,raw/kruda-latency-json-static-pidstat.txt
20260524T075113Z,latency,kruda,json-serialize,-t4 -c128 -d15s,812548.68,0.114,0.230,0.950,14.250,0,0,383.55,397.00,21348,20939,20.85,20.45,211849,0.00,0.00,raw/kruda-latency-json-serialize-wrk.txt,raw/kruda-latency-json-serialize-pidstat.txt
20260524T075113Z,throughput,kruda,plaintext-handler,-t4 -c256 -d15s,835187.06,0.136,0.360,1.030,11.410,0,0,385.07,397.00,21572,21435,21.07,20.93,216892,0.00,0.00,raw/kruda-throughput-plaintext-handler-wrk.txt,raw/kruda-throughput-plaintext-handler-pidstat.txt
20260524T075113Z,throughput,kruda,json-static,-t4 -c256 -d15s,825018.49,0.203,0.431,1.070,13.440,0,0,384.13,396.00,24132,24132,23.57,23.57,214776,0.00,0.00,raw/kruda-throughput-json-static-wrk.txt,raw/kruda-throughput-json-static-pidstat.txt
20260524T075113Z,throughput,kruda,json-serialize,-t4 -c256 -d15s,804931.49,0.221,0.458,1.080,11.450,0,0,384.87,397.00,24060,23778,23.50,23.22,209144,0.00,0.00,raw/kruda-throughput-json-serialize-wrk.txt,raw/kruda-throughput-json-serialize-pidstat.txt
20260524T075113Z,latency,fiber,plaintext-handler,-t4 -c128 -d15s,635994.45,0.140,0.671,2.930,17.350,0,0,409.53,444.00,12032,11981,11.75,11.70,155299,426.33,414.87,raw/fiber-latency-plaintext-handler-wrk.txt,raw/fiber-latency-plaintext-handler-pidstat.txt
20260524T075113Z,latency,fiber,json-static,-t4 -c128 -d15s,632721.32,0.142,0.644,2.900,12.260,0,0,403.46,422.00,12416,12416,12.12,12.12,156824,496.59,590.36,raw/fiber-latency-json-static-wrk.txt,raw/fiber-latency-json-static-pidstat.txt
20260524T075113Z,latency,fiber,json-serialize,-t4 -c128 -d15s,609879.53,0.145,0.778,3.030,15.060,0,0,408.05,440.00,17620,17156,17.21,16.75,149462,450.07,613.60,raw/fiber-latency-json-serialize-wrk.txt,raw/fiber-latency-json-serialize-pidstat.txt
20260524T075113Z,throughput,fiber,plaintext-handler,-t4 -c256 -d15s,655729.24,0.265,1.130,3.510,16.570,0,0,408.13,447.00,17392,17392,16.98,16.98,160667,0.00,0.00,raw/fiber-throughput-plaintext-handler-wrk.txt,raw/fiber-throughput-plaintext-handler-pidstat.txt
20260524T075113Z,throughput,fiber,json-static,-t4 -c256 -d15s,644125.32,0.267,1.120,3.480,17.020,0,0,409.72,433.00,17392,17392,16.98,16.98,157211,314.53,294.29,raw/fiber-throughput-json-static-wrk.txt,raw/fiber-throughput-json-static-pidstat.txt
20260524T075113Z,throughput,fiber,json-serialize,-t4 -c256 -d15s,636513.73,0.269,1.170,3.640,14.350,0,0,411.27,429.00,22460,21799,21.93,21.29,154768,338.47,399.20,raw/fiber-throughput-json-serialize-wrk.txt,raw/fiber-throughput-json-serialize-pidstat.txt
20260524T075113Z,latency,actix,plaintext-handler,-t4 -c128 -d15s,715684.03,0.093,0.585,2.900,15.340,0,0,392.73,441.00,8396,8396,8.20,8.20,182233,0.00,0.00,raw/actix-latency-plaintext-handler-wrk.txt,raw/actix-latency-plaintext-handler-pidstat.txt
20260524T075113Z,latency,actix,json-static,-t4 -c128 -d15s,705639.58,0.093,0.453,2.760,14.560,0,0,383.53,443.00,8396,8396,8.20,8.20,183985,0.00,0.00,raw/actix-latency-json-static-wrk.txt,raw/actix-latency-json-static-pidstat.txt
20260524T075113Z,latency,actix,json-serialize,-t4 -c128 -d15s,704716.38,0.095,0.604,2.780,13.410,0,0,396.73,443.00,8396,8396,8.20,8.20,177631,0.00,0.00,raw/actix-latency-json-serialize-wrk.txt,raw/actix-latency-json-serialize-pidstat.txt
20260524T075113Z,throughput,actix,plaintext-handler,-t4 -c256 -d15s,752886.69,0.167,1.060,3.270,17.540,0,0,405.51,447.00,10700,10700,10.45,10.45,185664,0.00,0.00,raw/actix-throughput-plaintext-handler-wrk.txt,raw/actix-throughput-plaintext-handler-pidstat.txt
20260524T075113Z,throughput,actix,json-static,-t4 -c256 -d15s,747466.82,0.164,1.040,3.250,14.410,0,0,393.67,436.00,10700,10700,10.45,10.45,189871,0.00,0.00,raw/actix-throughput-json-static-wrk.txt,raw/actix-throughput-json-static-pidstat.txt
20260524T075113Z,throughput,actix,json-serialize,-t4 -c256 -d15s,737094.27,0.166,1.660,3.960,15.440,0,0,418.27,435.00,10700,10700,10.45,10.45,176225,0.00,0.00,raw/actix-throughput-json-serialize-wrk.txt,raw/actix-throughput-json-serialize-pidstat.txt
